YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,144113.16,10672900.58
1902,291366.31,22671638.16
1903,490614.5,40465184.190000005
1904,656477.71,54575017.9
1905,837286.94,68720621.15
1906,1058820.83,86232234.64
1907,1271326.44,101499242.61
1908,1271326.44,101499242.61
1909,1700476.78,136078999.61
1910,1876553.85,148968174.2
1911,2113001.59,168785604.06
1912,2113001.59,168785604.06
2001,171769.46000000002,11599483.96
2002,357479.91000000003,24826999.05
2003,553809.5800000001,45922582.52
2004,553809.5800000001,45922582.52
2005,717667.8400000001,58716184.44
2006,1129998.95,89432143.16
2007,1362650.59,107496526.39
2008,1362650.59,107496526.39
2009,1625868.61,130335595.78
2010,2062311.18,171620845.33
2011,2362550.5300000003,198745314.25
2012,2731126.3000000003,233432960.98
2101,168554.35,13409151.03
2102,168554.35,13409151.03
2103,564539.84,51989475.3
2104,750521.0,67685531.73
2105,952334.49,84443133.3
2106,1166501.45,105051401.39
2107,1166501.45,105051401.39
2108,1382353.66,123002769.47
2109,1857093.19,168837448.33
2110,1857093.19,168837448.33
2111,2274239.92,211595161.21
2112,2594855.14,248122303.71
2201,135292.9,12498752.59
2202,305470.38,29067362.9
2203,553135.06,57102899.22
2204,766606.6,78238551.64999999
2205,985410.53,98177536.8
2206,1234803.05,126072860.03
2207,1467440.04,145283037.76
2208,1778589.89,182046974.68
2209,1985044.06,201979605.57
2210,2222278.17,225726595.51
2211,2541471.4,252337608.6
2212,2887653.58,279307423.44
2301,164103.75,12833237.8
2302,325078.21,25819790.75
2303,510336.07,40572155.61
2304,693805.25,55409526.15
2305,940479.22,84596973.02
2306,1294654.3,129501694.19
2307,1501574.4,146248600.73000002
2308,1852651.83,185124803.41
2309,2048564.87,200673705.89
2310,2223202.61,215460538.3
2311,2510571.27,238190360.76
2312,2775472.06,259453898.09
2401,121537.92,9810786.29
2402,261127.41,22296668.79
2403,504416.1,43492262.82
2404,652781.5599999999,56661693.02
2405,834115.72,72483318.98
2406,1045063.46,91734787.86
2407,1240509.77,108575946.86
2408,1480875.36,128812893.81
2409,1659816.32,143283280.47
2410,1818627.29,156336664.92
2411,2067807.51,175162166.94
2412,2314502.23,194615327.39
2501,111654.58000000002,9251092.44
2502,223038.73,18947594.01
2503,392611.49,33221579.75
2504,542379.8200000001,45988881.44
2505,697769.56,59016316.67
2506,862640.35,72033484.29
2507,1044459.68,86909798.42
2508,1264938.16,104972466.06
2509,1408765.53,117257247.7
2510,1408765.53,117257247.7
2511,1408765.53,117257247.7
2512,1408765.53,117257247.7
