YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,194942.33,22662868.57
1902,350666.5,42320466.440000005
1903,538480.85,66595979.59
1904,715035.41,89219545.41
1905,916066.95,114741777.6
1906,1119097.11,140558088.25
1907,1324025.24,165212933.05
1908,1324025.24,165212933.05
1909,1731445.64,217245298.83
1910,1918140.75,242850098.1
1911,2149158.34,275679634.89
1912,2149158.34,275679634.89
2001,235040.14,27286242.04
2002,440275.44,53670168.59
2003,573343.0499999999,71179362.00999999
2004,573343.0499999999,71179362.00999999
2005,712251.91,86932833.03
2006,1149586.72,134255100.95
2007,1469721.63,168523137.48
2008,1469721.63,168523137.48
2009,1747705.09,201386689.67
2010,2261383.43,267012144.39
2011,2611275.54,311541675.54
2012,3195968.79,386762743.78
2101,320905.68,35103358.25
2102,320905.68,35103358.25
2103,843171.86,99541204.82
2104,1136668.62,135486522.54
2105,1474730.93,176728412.25
2106,1812539.24,218265649.96
2107,1812539.24,218265649.96
2108,2141492.58,257310535.95
2109,2737474.2800000003,332106737.62
2110,2737474.2800000003,332106737.62
2111,3427644.77,426803808.76
2112,4084922.1,515250035.09
2201,371118.48,43180529.55
2202,655566.24,77988822.8
2203,985339.96,120158765.94
2204,1329866.52,164013509.57
2205,1725846.07,212918418.29
2206,2128728.1,261893261.05
2207,2514530.16,309899282.02
2208,2897340.74,359345885.36
2209,3249605.0300000003,405099622.94
2210,3602206.71,453483300.81
2211,4081758.02,518627355.03
2212,4902274.47,629975728.9
2301,444211.07,53479167.73
2302,795783.6,96455249.88
2303,1168056.33,144321498.70000002
2304,1542641.71,192744780.07
2305,1960822.28,244440281.73
2306,2401755.05,298450655.89
2307,2825027.77,349953502.13
2308,3258662.74,404393256.83
2309,3626616.39,452419951.16
2310,4006460.37,503101615.02
2311,4584026.53,577908060.66
2312,5489789.87,696519475.03
2401,429304.52,47385673.93000001
2402,768400.01,89143609.32000001
2403,1139052.63,136795216.24
2404,1503813.85,182798525.8
2405,1901922.63,232355531.79
2406,2299434.17,281998441.69
2407,2680437.86,329190996.58
2408,3078402.44,379700215.54
2409,3396986.02,421343023.74
2410,3749503.47,470337947.74
2411,4225980.24,535045174.28
2412,5146391.9,652715813.62
2501,407874.06,45128360.42
2502,712063.26,82741389.4
2503,1057291.53,127245577.92
2504,1395798.41,170297418.09
2505,1780364.77,218958280.83
2506,2147969.26,264698207.72
2507,2524129.47,309935326.23
2508,2908177.78,357130553.31
2509,3158560.45,390154573.34
2510,3158560.45,390154573.34
2511,3158560.45,390154573.34
2512,3158560.45,390154573.34
