YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,384894.31999999995,36076728.97
1902,764546.8400000001,77434053.06
1903,1248460.04,124467761.43
1904,1698447.07,170226493.66
1905,2195069.0599999996,221852701.37
1906,2659154.9299999997,266323971.88
1907,3153675.05,314781205.31
1908,3153675.05,314781205.31
1909,4121273.49,412132520.86
1910,4503717.11,451476803.48
1911,5035469.76,506035279.82000005
1912,5035469.76,506035279.82000005
2001,393402.44,38613129.14
2002,807825.1000000001,83709788.41
2003,1146228.33,121033720.65
2004,1146228.33,121033720.65
2005,1428786.46,152928201.51999998
2006,2325079.94,250458722.81
2007,2841232.48,307083393.44
2008,2841232.48,307083393.44
2009,3376353.47,365682728.11
2010,4387599.26,478268723.64000005
2011,5093470.3,556838640.77
2012,5952981.26,649038940.65
2101,515013.13,54827251.75
2102,515013.13,54827251.75
2103,1652425.49,183804274.05
2104,2340940.73,262306313.05
2105,3051192.06,345267265.48
2106,3727203.9800000004,420606555.80999994
2107,3727203.9800000004,420606555.80999994
2108,4490702.99,507224532.16999996
2109,5935064.92,672397492.3299999
2110,5935064.92,672397492.3299999
2111,7500734.49,854794939.39
2112,8493617.75,971863371.37
2201,534539.9299999999,61324921.260000005
2202,1167202.06,136688948.18
2203,1889604.6600000001,222139329.29000002
2204,2633724.89,307996548.26
2205,3406234.62,400208416.15
2206,4166681.3500000006,484958282.01000005
2207,5068485.48,585241452.95
2208,5978092.54,689796262.01
2209,6728244.47,778833947.3700001
2210,7474574.290000001,866819496.0400001
2211,8546820.75,996599706.53
2212,9706250.92,1130430633.9299998
2301,659819.02,72898963.51
2302,1303001.9200000002,151177760.68
2303,2069330.69,244221714.68
2304,2853012.76,338309480.16
2305,3642669.36,432656831.86
2306,4338773.57,510686783.77
2307,5190573.86,607774281.13
2308,6082185.4799999995,711955984.85
2309,6728921.29,789301227.93
2310,7421221.14,874023002.07
2311,8454982.120000001,1003426690.04
2312,9585738.040000001,1137258190.15
2401,554477.49,61697498.15
2402,1185426.78,138435706.4
2403,1849483.4900000002,216557947.08
2404,2471681.9,290805429.53
2405,3185536.63,374838487.78000003
2406,3761298.55,439715840.06
2407,4463468.26,520263006.55
2408,5238167.0200000005,610923406.25
2409,5782508.77,675474191.69
2410,6329520.25,739013409.1
2411,7179331.4399999995,844371995.1099999
2412,8336319.42,974586334.38
2501,458616.43000000005,51440819.85
2502,935327.54,107214386.43
2503,1501499.52,171527354.1
2504,2035204.69,231953579.81
2505,2612284.05,299636834.33
2506,3101399.0,354298251.18
2507,3713432.2300000004,425812889.39
2508,4421352.609999999,509757111.03
2509,4787791.96,552588185.71
2510,4787791.96,552588185.71
2511,4787791.96,552588185.71
2512,4787791.96,552588185.71
