BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,3666384.96,184174906.8
VICTORIA'S SECRET,2126935.94,126257827.06
DSW SHOE WAREHOUSE,1659867.36,117116636.89999999
H&M,2287139.25,108390023.51
AMERICAN EAGLE,1588434.74,104876182.52
NIKE,854035.8,103364656.67
GOODWILL,4583411.55,100975154.8
LULULEMON,715035.41,89219545.41
ZARA,943576.3200000001,80301424.14
ANTHROPOLOGIE,668012.08,77207313.83
MEN'S WEARHOUSE,346962.69,73705093.54
NIKE FACTORY,844411.27,66861836.99
FOOT LOCKER,528650.48,60684787.699999996
GAP,1063334.62,57222850.42
REVOLVE,229998.53,54875170.49
ADIDAS,656477.71,54575017.9
POSHMARK,1133169.2,45805791.35
KAY JEWELERS,143408.34,41773400.09
HOLLISTER,699775.35,39025040.56
BOOT BARN,249108.63,31408104.89
LL BEAN,330227.67,30928807.07
SKECHERS,399854.41000000003,28562237.02
FREE PEOPLE,246484.41,28362114.29
ABERCROMBIE & FITCH,372031.53,27661573.84
FANATICS,253397.89,17765342.01
SHEIN,333559.03,17039448.31
