YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,9109.369999999999,2309328.87
1902,19171.920000000002,4874516.009999999
1903,33146.93,8827898.09
1904,48341.71000000001,12656345.7
1905,67283.26999999999,17408409.18
1906,87675.04999999999,22746378.35
1907,87675.04999999999,22746378.35
1908,134977.52,34295373.20999999
1910,175782.34999999998,43671310.42
1911,175782.34999999998,43671310.42
1912,216804.16,53027169.86
2001,28285.570000000003,6533285.800000001
2002,62425.520000000004,14740765.740000004
2003,88745.85,20889677.12
2004,96668.82,22873076.299999997
2005,110263.3,26343708.17
2006,134702.82,33467711.06
2007,151961.21,38348771.86
2008,160904.00000000003,40760161.57000001
2010,169598.34999999998,43032091.74000001
2011,177946.29,45316135.67
2012,192800.36,49461151.28
2101,7296.4400000000005,2009380.92
2102,16596.019999999997,4677721.6
2103,37140.45,11188136.23
2104,72208.56,22148299.5
2105,116384.9,36479884.949999996
2106,165939.95,53413625.97
2107,230162.27000000002,74703452.71
2108,287820.81000000006,92861633.97
2109,337954.2,106752566.2
2110,337954.2,106752566.2
2111,441801.5,135219920.83
2112,501787.56000000006,152019327.13
2201,57651.19000000001,16205378.01
2202,130954.19000000002,39673967.3
2203,232707.78000000003,76043840.87
2204,232707.78000000003,76043840.87
2205,453760.89,154857083.58999997
2206,592061.35,209722595.84
2207,737679.44,267106508.82000002
2208,865861.48,313132221.58000004
2209,979713.63,349745494.56
2210,1081291.6600000001,381823829.76
2211,1169167.4300000002,408966604.07000005
2212,1261557.73,438317277.8000001
2301,90285.01000000001,28897620.950000003
2302,189676.26,63310754.42
2303,318314.9,110530928.49000001
2304,451341.22000000003,156985032.60000002
2305,613152.73,217365814.76
2306,793151.79,289759090.74
2307,984866.96,367158670.64
2308,1150241.74,428419470.09
2309,1301968.25,480634839.79999995
2310,1440212.7399999998,526695164.06
2311,1558291.48,564817848.05
2312,1675212.63,604271653.29
2401,114833.35,39080689.48000001
2402,238234.87999999995,83289560.76
2403,396998.57000000007,142928658.39
2404,556546.4099999999,200776465.29
2405,747049.24,274768713.83
2406,949718.24,358296176.54999995
2407,1164832.37,442845644.9
2408,1368697.43,516478563.8
2409,1558128.5699999998,582067961.6600001
2410,1736023.9000000001,641087306.76
2411,1887795.62,690348742.27
2412,2040737.4899999998,742881468.4300001
2501,147413.71,53103580.19
2502,302551.24,110306591.2
2503,499153.91000000003,184382812.44
2504,692460.06,258088221.39999998
2505,928256.02,350104068.15
2506,1175438.23,453032925.06
2507,1442254.42,558178808.2
2508,1689426.2400000002,649062444.4499999
2509,1893632.0899999999,721367478.5900002
