YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,335519.77,87638450.75
1902,657966.9800000001,175314244.57
1903,1068513.6700000002,285611773.62
1904,1449943.0699999998,385492871.24
1905,1854893.12,487143314.9
1906,2277571.38,597188121.1700001
1907,2277571.38,597188121.1700001
1908,3118591.2700000005,802248791.5899999
1910,3881151.2800000003,970938796.8700001
1911,3881151.2800000003,970938796.8700001
1912,4572302.539999999,1127542914.08
2001,387736.22,98274867.75999999
2002,741768.91,190580739.68000004
2003,974983.84,248799148.7
2004,1063752.23,283523308.84
2005,1183307.0700000003,321925019.16
2006,1341783.42,366891603.36
2007,1505592.09,408445484.01
2008,1686325.12,453161154.23
2010,1861509.0399999998,496325547.35
2011,2048776.9100000001,539899545.93
2012,2370888.31,614321932.48
2101,194634.53000000006,49636453.68000001
2102,420484.34000000014,105855831.26
2103,768549.6200000001,205229301.01999998
2104,1112598.5900000003,306817718.88
2105,1506193.0899999999,423789941.31
2106,1942646.8199999998,556815172.85
2107,2377419.77,685728565.52
2108,2752454.2199999997,786670053.71
2109,3100073.37,877644333.1299999
2110,3100073.37,877644333.1299999
2111,3801787.4400000004,1063053696.0500001
2112,4114115.4699999997,1145026117.2800002
2201,326329.45,89991209.69000001
2202,671037.5800000001,196514814.84000003
2203,1089245.85,337331002.31000006
2204,1089245.85,337331002.31000006
2205,1844393.6300000001,590391179.3
2206,2231004.5,722504958.04
2207,2613637.85,845618874.8000001
2208,2988192.99,959623877.9300001
2209,3316400.12,1056770834.1500001
2210,3627522.0,1148696791.29
2211,3929506.4800000004,1239677285.12
2212,4229848.24,1330187050.42
2301,344900.84,117535244.94
2302,665763.15,226231338.64000005
2303,1053162.38,357464633.25
2304,1420510.57,479678765.4000001
2305,1831475.2,615186607.23
2306,2260809.7199999997,757148797.11
2307,2689919.12,895870668.02
2308,3099835.4399999995,1020938988.9100001
2309,3468097.06,1127422367.0
2310,3800692.6100000003,1221520987.2200003
2311,4129353.5,1315982196.12
2312,4442487.24,1406861906.17
2401,351537.78,117061873.62
2402,708340.94,235455141.06
2403,1114669.9000000001,368316143.66999996
2404,1510374.8900000001,492571335.78999996
2405,1946265.2400000002,630114581.75
2406,2408831.8800000004,780552089.9300001
2407,2886864.84,932233102.77
2408,3322421.09,1062049837.8600001
2409,3695175.4300000006,1172138976.8
2410,4075925.49,1282467833.83
2411,4412947.59,1381068376.0100002
2412,4750265.71,1486044036.94
2501,370213.6000000001,123776843.39999999
2502,727264.2100000001,240757476.14000002
2503,1165320.78,387810054.64
2504,1577714.8100000003,521685637.95
2505,2032883.0299999998,669099167.42
2506,2501051.6100000003,822286101.3799999
2507,2993859.5300000003,978377774.95
2508,3433439.1100000003,1112775079.18
2509,3756168.41,1208673287.2
