,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,PRINCESS CRUISE,2019-01,KY,250.48999999999995,127064.62,Travel,Cruises
1,HILTON HOTELS,2019-01,VA,3490.11,872135.6099999999,Travel,Lodging
2,RESIDENCE INN,2019-03,DE,178.62000000000003,58810.28999999999,Travel,Lodging
3,EMBASSY SUITES,2019-04,WV,132.87,28266.81,Travel,Lodging
4,BRITISH AIRWAYS,2019-04,CT,170.61,157337.43,Travel,Airlines
5,HILTON HOTELS,2019-03,AK,420.9800000000001,128529.68,Travel,Lodging
6,CARNIVAL CRUISE LINES,2019-01,NC,7664.029999999999,3313126.85,Travel,Cruises
7,JETBLUE AIRWAYS,2019-03,NE,101.71,19250.6,Travel,Airlines
8,VOLARIS,2019-04,MS,35.14,16471.64,Travel,Airlines
9,ROYAL CARIBBEAN CRUISE,2019-02,WV,263.33,198963.19,Travel,Cruises
10,QATAR AIRWAYS,2019-04,CA,855.3200000000003,905393.22,Travel,Airlines
11,HILTON GARDEN INN,2019-04,IN,807.8399999999997,152713.18000000002,Travel,Lodging
12,HOLIDAY INN EXPRESS,2019-04,TN,2910.8400000000006,534861.8400000001,Travel,Lodging
13,NORWEGIAN CRUISE,2019-03,AK,41.11,19279.77,Travel,Cruises
14,VIATOR,2019-02,ND,66.71,19207.05,Travel,OTA
15,SPIRIT AIRLINES,2019-04,WY,295.29999999999995,43925.37,Travel,Airlines
16,HILTON HOTELS,2019-03,NC,6606.6,1478368.4799999995,Travel,Lodging
17,QATAR AIRWAYS,2019-04,VT,22.74,50958.81,Travel,Airlines
18,COURTYARD BY MARRIOTT,2019-01,CA,17884.639999999996,2474947.49,Travel,Lodging
19,AIRBNB,2019-02,AL,4809.259999999999,1725756.67,Travel,OTA
20,PRINCESS CRUISE,2019-02,PA,641.9399999999999,658041.76,Travel,Cruises
21,ALLEGIANT AIR,2019-01,CA,7056.78,985400.39,Travel,Airlines
22,ALLEGIANT AIR,2019-03,NY,5454.39,892572.7800000001,Travel,Airlines
23,PRINCESS CRUISE,2019-02,MD,196.61,273916.24,Travel,Cruises
24,ALLEGIANT AIR,2019-04,WY,364.3900000000001,66369.51999999999,Travel,Airlines
25,HOLIDAY INN EXPRESS,2019-02,MT,815.6899999999999,149085.12999999998,Travel,Lodging
26,BRITISH AIRWAYS,2019-04,MS,35.97,14801.03,Travel,Airlines
27,COURTYARD BY MARRIOTT,2019-04,CO,4478.13,649440.74,Travel,Lodging
28,UNITED AIRLINES,2019-03,MS,4328.96,871210.13,Travel,Airlines
29,PRICELINE,2019-01,WV,580.11,85779.36999999998,Travel,OTA
30,EMIRATES AIRLINES,2019-02,WV,2.69,2474.96,Travel,Airlines
31,WESTIN,2019-01,DC,351.7100000000001,37622.780000000006,Travel,Lodging
32,DOUBLETREE,2019-01,AR,412.9,37350.82,Travel,Lodging
33,ALASKA AIR,2019-04,NC,1980.71,409073.37,Travel,Airlines
34,FRONTIER AIRLINES,2019-02,NM,384.29,64533.20999999999,Travel,Airlines
35,TURKISH AIRLINES,2019-02,CO,99.71000000000002,83149.75000000001,Travel,Airlines
36,HARD ROCK CASINO,2019-04,DC,5.390000000000001,3232.4300000000003,Travel,Lodging (Casinos)
37,HOLIDAY INN,2019-02,VA,3620.16,429523.42,Travel,Lodging
38,RESIDENCE INN,2019-04,IN,618.3299999999999,104016.84,Travel,Lodging
39,VRBO,2019-01,NJ,253.32,64788.61,Travel,OTA
40,DISNEY CRUISE LINE,2019-03,NY,370.89,407220.1999999999,Travel,Cruises
41,HOTELS.COM,2019-04,DE,576.0099999999999,128516.38,Travel,OTA
