,DOMAIN,YEAR_MONTH,ALL_TRAFFIC_VISITS
14279,booking.com,2023-12,471784173.2102735
14280,booking.com,2024-01,543969205.3030415
14281,booking.com,2024-02,493493814.4039828
14282,booking.com,2024-03,534347401.0257725
14283,booking.com,2024-04,528538833.2445647
14284,booking.com,2024-05,554341440.0030047
14285,booking.com,2024-06,573937470.968815
14286,booking.com,2024-07,662048774.7993538
14287,booking.com,2024-08,621668509.4987906
14288,booking.com,2024-09,505872388.3258493
14289,booking.com,2024-10,479799437.1702872
14290,booking.com,2024-11,446620081.9707105
14291,booking.com,2024-12,461521603.7658434
14292,booking.com,2025-01,422482591.4951956
14293,booking.com,2025-02,446518366.7080643
