,DOMAIN,YEAR_MONTH,ALL_TRAFFIC_VISITS
34597,expedia.com,2023-12,66554885.46975308
34598,expedia.com,2024-01,75336257.25485507
34599,expedia.com,2024-02,70107993.52162263
34600,expedia.com,2024-03,76417009.84138244
34601,expedia.com,2024-04,74053620.75194153
34602,expedia.com,2024-05,83642604.85993984
34603,expedia.com,2024-06,88364812.06827255
34604,expedia.com,2024-07,89855052.7255756
34605,expedia.com,2024-08,78697891.68762644
34606,expedia.com,2024-09,65955857.5972029
34607,expedia.com,2024-10,64308759.60862378
34608,expedia.com,2024-11,60813722.69016398
34609,expedia.com,2024-12,64968564.41216037
34610,expedia.com,2025-01,58490710.21439798
34611,expedia.com,2025-02,64903242.78338445
