YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,1551984.63,49794944.22
1902,3260384.1900000004,103599805.97999999
1903,5428164.99,171844515.1
1904,7484442.84,236183979.3
1905,9786918.05,308617044.59000003
1906,12073351.66,379884638.32000005
1907,14440525.280000001,452988071.1
1908,16983041.49,530123118.5
1909,19611542.22,609426201.4
1910,22429139.93,695253526.8
1911,25127373.840000004,779600329
1912,27862576.36,867057590.3
2001,2871388.7,90511126.36
2002,5891635.140000001,185703586.7
2003,9272240.129999999,297656386.90000004
2004,14375919.71,475265355.53999996
2005,20642133.72,692398952.3100001
2006,26537557.6,894707295.3100001
2007,33153622.560000002,1119269188.3899999
2008,40196590.55,1356894644
2009,47238518.42,1586184438
2010,55033110.45999999,1841275351
2011,62572186.79000001,2089546481
2012,70783021.34,2365744902
2101,9324708.59,314656599.8
2102,17641363.609999996,593310648.4
2103,27233765.009999998,912637138.6
2104,36892818.38,1236035297
2105,46772030.17,1569951686
2106,56028804.04,1876828219.6900003
2107,65717894.99999999,2198813279
2108,75449410.16,2520901773.1600003
2109,84926168.08,2834226512
2110,95032455.01,3171023876
2111,104659407.5,3492355483
2112,114793621.1,3836156262
2201,10737733.559999999,365342652.3
2202,20541381.74,696261577.1999999
2203,31548741.69,1066743110
2204,42419741.400000006,1436791892
2205,53540267.050000004,1817943432.6200001
2206,63896348.269999996,2171169447
2207,74430574.12,2535459259
2208,84770841.11,2891601883
2209,95079796.18,3245477899
2210,105949177.6,3620267241
2211,116374851.7,3979166478.7299995
2212,127273038.83000001,4360353741.950001
2301,11132507.81,385847187.4
2302,21857568.029999994,756039183.1
2303,33975761.6,1172447904
2304,45680280.93,1576484197.4299998
2305,57589285.54000001,1988011071
2306,69131240.86000001,2384550658
2307,80864380.36,2792309649
2308,92359835.77000001,3188062974
2309,103890328.94000001,3583696384.2700005
2310,115704217,3991602952.6000004
2311,126999366.9,4382405432.360001
2312,139068042,4806724100.549999
2401,11987425.75,419304713.88000005
2402,23949074.650000002,836757782.6
2403,37198695.57,1298784604
2404,49913769.89,1738702687.8000002
2405,62953286.53,2194825707.9300003
2406,75503221.36000001,2633948608.6100006
2407,88203612.46,3076198165
2408,101049143.7,3523477995
2409,113447827.8,3956138420
2410,126362435.4,4406383920
2411,139109740.4,4855412565
2412,152293751.2,5329025049.889999
2501,13312602.349999998,473375846.9
2502,25915381.24,924580810.1899999
2503,40272658.8,1440972232.4099998
2504,53940737.370000005,1927536913.6799998
2505,68365469.68,2446946204.2900004
2506,82128728.28999999,2947441266.8500004
2507,96123852.63,3452085566.7699995
2508,110449719.1,3969054179
