YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,153807.66,7993583.99
1902,302837.45000000007,15551229.46
1903,460834.45999999996,23927603.53
1904,613174.9100000001,31880476.91
1905,780445.59,40721884.730000004
1906,948565.2100000001,49562837.46
1907,1130379.35,59159109.32
1908,1313839.4,69153351.47
1909,1513225.3,79480980.7
1910,1769928.47,90843700.78
1911,2015509.7199999997,103302046.94
1912,2305495.56,117074633.46000001
2001,382391.27,17323673.38
2002,644517.32,34010737.720000006
2003,1041143.1699999999,58701996.42
2004,1423153.13,85868806.32
2005,1906419.67,120455848.95000002
2006,2368150.0300000003,153486552.75
2007,2943378.06,193157534.49
2008,3591241.33,239579046.16000003
2009,4196057.68,283557278.34000003
2010,4856009.140000001,331573443.0
2011,5557750.4,382163512.8
2012,6283985.6,436487449.46999997
2101,815128.4299999998,61273768.41
2102,1502094.23,112778499.80000001
2103,2231446.49,168587346.04
2104,2877218.6099999994,218013079.30999997
2105,3519971.4499999993,266445846.15999997
2106,4111188.65,309792443.47
2107,4696379.5,351885416.29999995
2108,5304450.42,395330339.08000004
2109,5898139.42,437466561.36
2110,6509151.25,481954729.8
2111,7063098.34,522854360.95
2112,7580356.449999999,562150970.92
2201,572650.87,44448303.10999999
2202,1065835.3699999999,83093346.04
2203,1598873.09,124196326.92
2204,2102182.26,162779278.67000002
2205,2636102.1899999995,203881603.18
2206,3133945.79,241933041.82
2207,3651923.9699999997,280938633.42
2208,4169975.75,319122757.58
2209,4654336.05,355313529.67
2210,5155529.469999999,392819618.80999994
2211,5633660.1,427605742.52
2212,6114895.16,463867254.63
2301,509002.56999999995,38623251.36000001
2302,957736.7900000002,73048886.62999997
2303,1368534.5300000003,108991515.66
2304,1751179.55,142628245.16000003
2305,2139150.84,175535213.00000003
2306,2500985.3,206034976.01999998
2307,2866622.9299999997,236425569.62
2308,3214410.7700000005,265255615.93
2309,3558481.9800000004,294146808.89
2310,3923368.16,324276919.38
2311,4283589.9,352915334.27
2312,4653716.16,383148002.51
2401,394465.13,32053847.85
2402,756477.9000000001,61591392.989999995
2403,1135872.3399999999,92781910.28
2404,1500501.68,122517137.5
2405,1885406.61,152677414.16000003
2406,2263987.54,182454955.9
2407,2679514.92,213620590.14000002
2408,3104155.34,245742376.28
2409,3538237.2800000003,277954838.25
2410,3982852.58,311190548.40999997
2411,4480730.07,348532012.78000003
2412,4966274.29,384754888.27
2501,516533.9800000001,37799896.31000001
2502,985822.47,72344110.69
2503,1506248.17,110856578.69999999
2504,2025032.19,147675849.51999998
2505,2572261.92,186536334.57
2506,3094074.3600000003,222967012.28
2507,3652586.37,261804199.92
2508,4232092.19,301924743.03999996
