YYMM,TRANS_COUNT,SPEND_AMOUNT
1901,801657.47,25708796.590000004
1902,1613316.4499999997,51288205.71000001
1903,2520283.34,79751510.38999999
1904,3350459.8200000003,106335883.54000002
1905,4208405.98,134379739.90999997
1906,5002900.95,160942207.06
1907,5778913.04,186869284.07999998
1908,6566304.37,213085651.42000002
1909,7424382.6899999995,240353811.11999997
1910,8360063.49,268917126.87
1911,9293080.0,297981185.46
1912,10223637.56,328423035.6700001
2001,991096.69,32349649.32
2002,2016073.46,65324686.41
2003,3080238.88,102564064.09
2004,4489926.6899999995,157268669.43000004
2005,6065874.62,219246273.25
2006,7583756.760000001,274286499.12
2007,9134250.780000001,332153362.2
2008,10716375.05,391061559.26
2009,12225619.73,446057233.55
2010,13793000.330000002,503464697.42999995
2011,15270401.98,558702361.51
2012,16787678.74,616972843.84
2101,1693691.5099999998,64327054.24000002
2102,3215923.23,121114696.91000003
2103,5077825.27,189656658.22000003
2104,6904442.84,256030213.61
2105,8650589.73,320373290.67
2106,10238355.3,378465304.34000003
2107,11827981.46,436622759.38
2108,13505319.51,497554380.88
2109,15162843.01,555261001.25
2110,16896719.62,615494118.99
2111,18488567.91,671096116.34
2112,20112780.04,730470373.63
2201,1627655.52,60351735.99
2202,3108988.8699999996,113299844.44
2203,4684320.550000001,169256073.15
2204,6196502.24,223434646.13000003
2205,7642045.279999999,277186830.36
2206,8885581.94,324564816.34000003
2207,10261914.25,376726877.71000004
2208,11671054.13,429097110.12
2209,13088977.159999998,480065000.14000005
2210,14558333.899999999,532732517.41
2211,15881018.9,579952984.32
2212,17178435.83,629110999.8499999
2301,1278033.65,47877607.35
2302,2533710.62,93425295.9
2303,3911503.79,143145841.3
2304,5243950.25,190786969.52999997
2305,6498508.859999999,237931853.39000002
2306,7672866.42,282713003.39
2307,8864928.120000001,328313338.29999995
2308,10084864.31,372997346.19
2309,11351810.250000002,417859014.1
2310,12677721.87,464216495.75
2311,13837734.14,504548384.80999994
2312,14982124.13,547699523.7
2401,1119584.7600000002,41602137.379999995
2402,2271399.13,82412718.92999999
2403,3478370.5900000003,126428286.72999999
2404,4664450.1499999985,167737618.35
2405,5737324.92,208284823.55
2406,6817741.65,249975175.7
2407,7857773.040000001,289688847.03
2408,8946319.54,329877396.11
2409,10124016.96,370335466.73
2410,11359146.9,411333517.28999996
2411,12491221.899999999,450381676.88
2412,13548963.48,489273659.96000004
2501,1052465.37,38078987.75000001
2502,2090586.1900000004,73511001.67999999
2503,3217516.9299999997,112664290.7
2504,4344949.290000001,149529675.10999998
2505,5362685.68,186480469.99
2506,6295728.350000001,221469286.57
2507,7211762.809999999,255155533.38
2508,8179708.36,289586521.43
