,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,AMAZON FRESH,2022-08,MN,9427.19,708775.03,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
1,INSTACART,2022-12,TX,119720.73,10666479.86,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
2,GRUBHUB.COM,2022-10,MA,34643.68999999999,1277342.5600000003,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
3,GRUBHUB.COM,2022-08,CT,28800.610000000004,1105660.09,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
4,AMAZON FRESH,2022-03,MA,10049.81,935522.5300000004,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
5,DOORDASH,2022-01,PA,444862.01,15649030.579999996,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
6,GRUBHUB.COM,2022-02,SD,2493.94,79447.73,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
7,INSTACART,2022-10,LA,7327.549999999999,676146.5499999999,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
8,UBEREATS,2022-08,VA,181026.52,5322580.31,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
9,AMAZON FRESH,2022-07,MD,14871.529999999995,1128750.9,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
10,AMAZON FRESH,2022-12,PA,19088.61,1470583.06,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
11,INSTACART,2022-11,NV,21118.000000000004,1747901.9499999995,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
12,DOORDASH,2022-04,MN,248117.37,9009266.35,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
13,UBEREATS,2022-08,AR,12318.86,374813.28,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
14,GRUBHUB.COM,2022-09,MA,31026.140000000003,1143136.3099999998,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
15,AMAZON FRESH,2022-05,ME,617.6799999999998,68987.59999999999,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
16,INSTACART,2022-09,ME,2457.4100000000003,235568.94999999995,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
17,UBEREATS,2022-03,AL,40076.8,1052987.9700000002,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
18,DOORDASH,2022-06,VT,4463.75,168998.87999999998,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
19,AMAZON FRESH,2022-10,SD,110.98000000000002,8367.850000000002,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
20,UBEREATS,2022-09,RI,7324.340000000001,216610.23,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
21,UBEREATS,2022-05,AR,11621.65,329104.0399999999,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
22,INSTACART,2022-02,NV,18784.25,1651463.9999999998,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
23,INSTACART,2022-01,NM,9682.009999999998,876959.75,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
24,INSTACART,2022-09,AK,3744.68,414725.89,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
25,INSTACART,2022-06,IA,12544.94,1114111.2000000002,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
26,GRUBHUB.COM,2022-05,WV,3152.0799999999995,118110.72000000002,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
27,AMAZON FRESH,2022-01,AR,909.5399999999998,76107.12000000001,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
28,AMAZON FRESH,2022-08,OK,1202.8200000000002,105137.95,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
29,INSTACART,2022-11,OH,23584.97,1882791.2900000005,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
30,INSTACART,2022-12,AK,3721.41,412426.17,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
31,AMAZON FRESH,2022-08,RI,1229.01,151430.38999999998,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
32,DOORDASH,2022-06,MA,90457.15,3239844.639999999,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
33,UBEREATS,2022-07,RI,6432.39,189971.44000000003,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
34,AMAZON FRESH,2022-12,IL,15746.870000000004,1003389.2399999998,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
35,AMAZON FRESH,2022-06,KY,1017.14,78254.11000000002,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
36,INSTACART,2022-05,TX,125003.51999999996,11120702.35,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
37,INSTACART,2022-01,WA,70438.08999999998,7289054.810000001,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
38,INSTACART,2022-12,MA,23340.2,2036035.55,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
39,DOORDASH,2022-04,VA,379977.1499999999,12646758.65,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
40,GRUBHUB.COM,2022-10,CT,30430.82,1144289.55,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
41,AMAZON FRESH,2022-10,DE,629.94,55755.7,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
42,DOORDASH,2022-12,VA,379918.89,12900472.319999998,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
43,GRUBHUB.COM,2022-03,GA,39653.34,1364706.61,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
44,GRUBHUB.COM,2022-02,SC,12634.89,395887.44,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
45,UBEREATS,2022-10,CO,113953.76000000002,3429777.72,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
46,INSTACART,2022-03,ME,3430.1799999999994,318281.33,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
47,UBEREATS,2022-01,NE,25545.74,680888.56,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
48,UBEREATS,2022-11,FL,704481.77,22649066.43,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
49,AMAZON FRESH,2022-03,WV,228.32,17730.18,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
50,UBEREATS,2022-02,RI,7366.71,198807.4,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
51,INSTACART,2022-11,MI,12842.970000000005,1050404.9,Third- Party Delivery Services,Restaurant/Grocery/Other Delivery Services
